#atmos ID, Teff [K], log(g) [cgs], [Fe/H], [alpha/Fe], mass, Vturb [km/s], A(X), pointer
'p2500_g+3.5_m0.0_t02_st_z+0.75_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.7500	0.0000	0.00	2.00	8.2500      16647413 
'p2500_g+3.5_m0.0_t02_st_z+1.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	1.0000	0.0000	0.00	2.00	8.5000      16920305 
'p2500_g+3.5_m0.0_t02_st_z-0.25_a+0.10_c+0.00_n+0.00_o+0.10_r+0.00_s+0.00'	2500.0000	3.5000	-0.2500	0.1000	0.00	2.00	7.2500      17193197 
'p2500_g+3.5_m0.0_t02_st_z-0.50_a+0.20_c+0.00_n+0.00_o+0.20_r+0.00_s+0.00'	2500.0000	3.5000	-0.5000	0.2000	0.00	2.00	7.0000      17466089 
'p2500_g+3.5_m0.0_t02_st_z-0.75_a+0.30_c+0.00_n+0.00_o+0.30_r+0.00_s+0.00'	2500.0000	3.5000	-0.7500	0.3000	0.00	2.00	6.7500      17738981 
'p2500_g+3.5_m0.0_t02_st_z-1.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.5000	-1.0000	0.4000	0.00	2.00	6.5000      18011873 
'p2500_g+3.5_m0.0_t02_st_z-1.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.5000	-1.5000	0.4000	0.00	2.00	6.0000      18284765 
'p2500_g+3.5_m0.0_t02_st_z-2.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.5000	-2.5000	0.4000	0.00	2.00	5.0000      18557657 
'p2500_g+3.5_m0.0_t05_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.0000	0.0000	0.00	5.00	7.5000      18830549 
'p2500_g+4.0_m0.0_t00_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.0000	0.0000	0.00	0.00	7.5000      19103441 
'p2500_g+4.0_m0.0_t00_st_z+0.25_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.2500	0.0000	0.00	0.00	7.7500      19376333 
'p2500_g+4.0_m0.0_t00_st_z+0.50_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.5000	0.0000	0.00	0.00	8.0000      19649225 
'p2500_g+4.0_m0.0_t00_st_z+0.75_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.7500	0.0000	0.00	0.00	8.2500      19922117 
'p2500_g+4.0_m0.0_t00_st_z+1.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	1.0000	0.0000	0.00	0.00	8.5000      20195009 
'p2500_g+4.0_m0.0_t00_st_z-0.25_a+0.10_c+0.00_n+0.00_o+0.10_r+0.00_s+0.00'	2500.0000	4.0000	-0.2500	0.1000	0.00	0.00	7.2500      20467901 
'p2500_g+4.0_m0.0_t00_st_z-0.50_a+0.20_c+0.00_n+0.00_o+0.20_r+0.00_s+0.00'	2500.0000	4.0000	-0.5000	0.2000	0.00	0.00	7.0000      20740793 
'p2500_g+4.0_m0.0_t00_st_z-0.75_a+0.30_c+0.00_n+0.00_o+0.30_r+0.00_s+0.00'	2500.0000	4.0000	-0.7500	0.3000	0.00	0.00	6.7500      21013685 
'p2500_g+4.0_m0.0_t00_st_z-1.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.0000	-1.0000	0.4000	0.00	0.00	6.5000      21286577 
'p2500_g+4.0_m0.0_t00_st_z-1.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.0000	-1.5000	0.4000	0.00	0.00	6.0000      21559469 
'p2500_g+4.0_m0.0_t00_st_z-2.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.0000	-2.0000	0.4000	0.00	0.00	5.5000      21832361 
'p2500_g+4.0_m0.0_t00_st_z-2.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	4.0000	-2.5000	0.4000	0.00	0.00	5.0000      22105253 
'p2500_g+4.0_m0.0_t01_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	4.0000	0.0000	0.0000	0.00	1.00	7.5000      22378145 
